CODE,NAME,BOUNDARYCHANGE,TYPE,REGION,CON,LAB,LD,UKIP,SNP,PC,GRN,Others,TOTAL
E10000002,Buckinghamshire,,County Council,South East,41,1,4,0,0,0,0,3,49
E10000003,Cambridgeshire,Y,County Council,East of England,36,7,15,0,0,0,0,3,61
E10000006,Cumbria,,County Council,North West,37,26,16,0,0,0,0,5,84
E10000007,Derbyshire,,County Council,East Midlands,37,24,3,0,0,0,0,0,64
E10000008,Devon,Y,County Council,South West,42,7,7,0,0,0,1,3,60
E10000009,Dorset,Y,County Council,South West,32,1,11,0,0,0,2,0,46
E10000011,East Sussex,,County Council,South East,30,4,11,0,0,0,0,5,50
E10000012,Essex,,County Council,East of England,56,6,7,0,0,0,1,5,75
E10000013,Gloucestershire,Y,County Council,South West,31,5,14,0,0,0,2,1,53
E10000014,Hampshire,Y,County Council,South East,56,2,19,0,0,0,0,1,78
E10000015,Hertfordshire,Y,County Council,East of England,51,9,18,0,0,0,0,0,78
E10000016,Kent,Y,County Council,South East,67,5,7,0,0,0,1,1,81
E10000017,Lancashire,Y,County Council,North West,46,30,4,1,0,0,1,2,84
E10000018,Leicestershire,Y,County Council,East Midlands,36,6,13,0,0,0,0,0,55
E10000019,Lincolnshire,Y,County Council,East Midlands,58,6,1,0,0,0,0,5,70
E10000020,Norfolk,,County Council,East of England,55,17,11,0,0,0,0,1,84
E10000023,North Yorkshire,,County Council,Yorkshire and The Humber,55,4,3,0,0,0,0,10,72
E10000021,Northamptonshire,,County Council,East Midlands,43,12,2,0,0,0,0,0,57
E10000024,Nottinghamshire,Y,County Council,East Midlands,31,23,1,0,0,0,0,11,66
E10000025,Oxfordshire,,County Council,South East,31,14,13,0,0,0,0,5,63
E10000027,Somerset,,County Council,South West,35,3,12,0,0,0,2,3,55
E10000028,Staffordshire,,County Council,West Midlands,51,10,0,0,0,0,0,1,62
E10000029,Suffolk,,County Council,East of England,52,11,5,0,0,0,3,4,75
E10000030,Surrey,,County Council,South East,61,1,9,0,0,0,1,9,81
E10000031,Warwickshire,Y,County Council,West Midlands,36,10,7,0,0,0,2,2,57
E10000032,West Sussex,Y,County Council,South East,56,5,9,0,0,0,0,0,70
E10000034,Worcestershire,,County Council,West Midlands,40,10,3,0,0,0,2,2,57
E06000052,Cornwall,,Unitary Authority,South West,46,5,37,0,0,0,0,34,122
E06000047,County Durham,,Unitary Authority,North East,10,74,14,0,0,0,0,28,126
E06000046,Isle of Wight,,Unitary Authority,South East,25,1,2,0,0,0,1,11,40
E06000057,Northumberland,,Unitary Authority,North East,33,24,3,0,0,0,0,7,67
E06000051,Shropshire,,Unitary Authority,West Midlands,49,8,12,0,0,0,1,4,74
E06000054,Wiltshire,,Unitary Authority,South West,68,3,20,0,0,0,0,7,98
E08000017,Doncaster,,Metropolitan Borough,Yorkshire and The Humber,7,43,0,0,0,0,0,5,55
S12000033,Aberdeen City,Y,Scotland,Scotland,11,9,4,0,19,0,0,2,45
S12000034,Aberdeenshire,Y,Scotland,Scotland,23,1,14,0,21,0,0,11,70
S12000041,Angus,Y,Scotland,Scotland,8,0,2,0,9,0,0,9,28
S12000035,Argyll and Bute,,Scotland,Scotland,9,0,6,0,11,0,0,10,36
S12000005,Clackmannanshire,,Scotland,Scotland,5,5,0,0,8,0,0,0,18
S12000013,Na h-Eileanan Siar,,Scotland,Scotland,1,0,0,0,7,0,0,23,31
S12000006,Dumfries and Galloway,Y,Scotland,Scotland,16,11,1,0,11,0,0,4,43
S12000042,Dundee City,,Scotland,Scotland,3,9,2,0,14,0,0,1,29
S12000008,East Ayrshire,Y,Scotland,Scotland,6,9,0,0,14,0,0,3,32
S12000045,East Dunbartonshire,Y,Scotland,Scotland,6,2,6,0,7,0,0,1,22
S12000010,East Lothian,Y,Scotland,Scotland,7,9,0,0,6,0,0,0,22
S12000011,East Renfrewshire,Y,Scotland,Scotland,7,4,0,0,5,0,0,2,18
S12000036,City of Edinburgh,Y,Scotland,Scotland,18,12,6,0,19,0,0,8,63
S12000014,Falkirk,Y,Scotland,Scotland,7,9,0,0,12,0,0,2,30
S12000015,Fife,Y,Scotland,Scotland,15,24,7,0,29,0,0,0,75
S12000046,Glasgow City,Y,Scotland,Scotland,8,31,0,0,39,0,0,7,85
S12000017,Highland,Y,Scotland,Scotland,10,3,10,0,22,0,0,29,74
S12000018,Inverclyde,Y,Scotland,Scotland,2,8,1,0,7,0,0,4,22
S12000019,Midlothian,Y,Scotland,Scotland,5,7,0,0,6,0,0,0,18
S12000020,Moray,Y,Scotland,Scotland,8,1,0,0,9,0,0,8,26
S12000021,North Ayrshire,Y,Scotland,Scotland,7,11,0,0,11,0,0,4,33
S12000044,North Lanarkshire,Y,Scotland,Scotland,10,32,0,0,33,0,0,2,77
S12000023,Orkney Islands,,Scotland,Scotland,0,0,0,0,0,0,0,21,21
S12000024,Perth and Kinross,Y,Scotland,Scotland,17,1,4,0,15,0,0,3,40
S12000038,Renfrewshire,Y,Scotland,Scotland,8,13,1,0,19,0,0,2,43
S12000026,Scottish Borders,,Scotland,Scotland,15,0,2,0,9,0,0,8,34
S12000027,Shetland Islands,,Scotland,Scotland,0,0,0,0,1,0,0,21,22
S12000028,South Ayrshire,Y,Scotland,Scotland,12,5,0,0,9,0,0,2,28
S12000029,South Lanarkshire,Y,Scotland,Scotland,14,21,1,0,27,0,0,1,64
S12000030,Stirling,Y,Scotland,Scotland,9,4,0,0,9,0,0,1,23
S12000039,West Dunbartonshire,Y,Scotland,Scotland,2,8,0,0,10,0,0,2,22
S12000040,West Lothian,,Scotland,Scotland,7,12,0,0,13,0,0,1,33
W06000001,Isle of Anglesey,,Wales,Wales,0,2,1,0,0,14,0,13,30
W06000019,Blaenau Gwent,,Wales,Wales,0,13,0,0,0,1,0,28,42
W06000013,Bridgend,,Wales,Wales,11,26,1,0,0,3,0,13,54
W06000018,Caerphilly,,Wales,Wales,0,50,0,0,0,18,0,5,73
W06000015,Cardiff,,Wales,Wales,20,40,11,0,0,3,0,1,75
W06000010,Carmarthenshire,,Wales,Wales,0,22,0,0,0,36,0,16,74
W06000008,Ceredigion,,Wales,Wales,0,1,8,0,0,20,0,13,42
W06000003,Conwy,,Wales,Wales,16,8,4,0,0,10,0,21,59
W06000004,Denbighshire,,Wales,Wales,16,13,1,0,0,9,0,8,47
W06000005,Flintshire,,Wales,Wales,6,34,5,0,0,0,0,25,70
W06000002,Gwynedd,,Wales,Wales,0,1,1,0,0,41,0,32,75
W06000024,Merthyr Tydfil,,Wales,Wales,0,14,0,0,0,0,0,16,30
W06000021,Monmouthshire,,Wales,Wales,25,10,3,0,0,0,0,5,43
W06000012,Neath Port Talbot,,Wales,Wales,0,43,1,0,0,15,0,5,64
W06000022,Newport,,Wales,Wales,12,31,2,0,0,0,0,5,50
W06000009,Pembrokeshire,,Wales,Wales,11,7,1,0,0,6,0,35,60
W06000023,Powys,,Wales,Wales,19,7,13,0,0,2,0,31,72
W06000016,Rhondda Cynon Taf,,Wales,Wales,4,47,1,0,0,18,0,5,75
W06000011,Swansea,,Wales,Wales,8,48,7,0,0,0,0,9,72
W06000020,Torfaen,,Wales,Wales,4,29,0,0,0,0,0,11,44
W06000014,Vale of Glamorgan,,Wales,Wales,23,14,0,0,0,4,0,6,47
W06000006,Wrexham,,Wales,Wales,9,12,2,0,0,3,0,26,52
