CODE,NAME,BOUNDARYCHANGE,NEW,TYPE,SEATS,REGION,CON,LAB,LD,GRN,SNP,PC,OTH,Vacant,TOTAL
E07000086,Eastleigh,No,No,District,All,South East,1,0,34,0,0,0,4,,39
E07000062,Hastings,No,No,District,All,South East,12,15,0,5,0,0,0,,32
E07000011,Huntingdonshire,No,No,District,All,East of England,22,4,10,1,0,0,15,,52
E07000195,Newcastle under Lyme,No,No,District,All,West Midlands,25,19,0,0,0,0,0,,44
E07000012,South Cambridgeshire,No,No,District,All,East of England,8,0,37,0,0,0,0,,45
E07000223,Adur,No,No,District,Half,South East,16,9,0,2,0,0,2,,29
E07000078,Cheltenham,No,No,District,Half,South West,6,0,31,1,0,0,2,,40
E07000087,Fareham,No,No,District,Half,South East,25,0,5,0,0,0,1,,31
E07000088,Gosport,Yes,No,District,Half,South East,10,2,16,0,0,0,0,,28
E07000219,Nuneaton and Bedworth,No,No,District,Half,West Midlands,27,5,0,2,0,0,0,,34
E07000178,Oxford,No,No,District,Half,South East,0,32,9,6,0,0,1,,48
E07000032,Amber Valley,No,No,District,Third,East Midlands,30,11,0,3,0,0,1,,45
E07000066,Basildon,No,No,District,Third,East of England,25,10,0,0,0,0,7,,42
E07000084,Basingstoke and Deane,No,No,District,Third,South East,29,10,7,0,0,0,8,,54
E07000068,Brentwood,No,No,District,Third,East of England,21,2,14,0,0,0,0,,37
E07000095,Broxbourne,No,No,District,Third,East of England,26,3,0,0,0,0,1,,30
E07000117,Burnley,No,No,District,Third,North West,8,18,8,6,0,0,5,,45
E07000008,Cambridge,No,No,District,Third,East of England,0,29,9,3,0,0,1,,42
E07000192,Cannock Chase,No,No,District,Third,West Midlands,25,8,2,2,0,0,4,,41
E07000069,Castle Point,No,No,District,Third,East of England,15,0,0,0,0,0,26,,41
E07000177,Cherwell,No,No,District,Third,South East,25,10,7,2,0,0,4,,48
E07000118,Chorley,No,No,District,Third,North West,10,32,0,0,0,0,0,,42
E07000071,Colchester,No,No,District,Third,East of England,19,13,14,3,0,0,2,,51
E07000226,Crawley,No,No,District,Third,South East,17,18,0,0,0,0,0,1,36
E07000207,Elmbridge,No,No,District,Third,South East,15,0,13,0,0,0,20,,48
E07000072,Epping Forest,No,No,District,Third,East of England,35,0,4,3,0,0,16,,58
E07000041,Exeter,No,No,District,Third,South West,5,26,2,5,0,0,1,,39
E07000073,Harlow,No,No,District,Third,East of England,21,12,0,0,0,0,0,,33
E07000089,Hart,No,No,District,Third,South East,11,0,11,0,0,0,11,,33
E07000090,Havant,No,No,District,Third,South East,35,2,0,0,0,0,1,,38
E07000120,Hyndburn,No,No,District,Third,North West,14,17,0,0,0,0,3,1,35
E07000202,Ipswich,No,No,District,Third,East of England,12,32,3,0,0,0,1,,48
E07000138,Lincoln,No,No,District,Third,East Midlands,9,22,2,0,0,0,0,,33
E07000110,Maidstone,No,No,District,Third,South East,27,5,12,1,0,0,10,,55
E07000210,Mole Valley,No,No,District,Third,South East,10,0,24,0,0,0,7,,41
E07000099,North Hertfordshire,No,No,District,Third,East of England,19,17,13,0,0,0,0,,49
E07000148,Norwich,No,No,District,Third,East of England,0,25,3,11,0,0,0,,39
E07000122,Pendle,No,No,District,Third,North West,17,11,5,0,0,0,0,,33
E07000123,Preston,No,No,District,Third,North West,11,30,7,0,0,0,0,,48
E07000236,Redditch,No,No,District,Third,West Midlands,20,7,0,1,0,0,1,,29
E07000211,Reigate and Banstead,No,No,District,Third,South East,27,0,3,9,0,0,6,,45
E07000075,Rochford,No,No,District,Third,East of England,21,0,5,1,0,0,12,,39
E07000125,Rossendale,No,No,District,Third,North West,11,19,0,1,0,0,5,,36
E07000220,Rugby,No,No,District,Third,West Midlands,23,10,9,0,0,0,0,,42
E07000212,Runnymede,No,No,District,Third,South East,24,3,3,1,0,0,10,,41
E07000092,Rushmoor,No,No,District,Third,South East,28,9,2,0,0,0,0,,39
E07000240,St Albans,Yes,No,District,Third,East of England,4,0,50,1,0,0,1,,56
E07000243,Stevenage,No,No,District,Third,East of England,9,24,6,0,0,0,0,,39
E07000199,Tamworth,No,No,District,Third,West Midlands,25,3,0,0,0,0,2,,30
E07000215,Tandridge,No,No,District,Third,South East,10,0,11,0,0,0,21,,42
E07000102,Three Rivers,No,No,District,Third,East of England,12,3,23,1,0,0,0,,39
E07000116,Tunbridge Wells,No,No,District,Third,South East,13,7,16,0,0,0,12,,48
E07000103,Watford,No,No,District,Third,East of England,0,9,27,0,0,0,0,,36
E07000241,Welwyn Hatfield,No,No,District,Third,East of England,26,10,12,0,0,0,0,,48
E07000127,West Lancashire,No,No,District,Third,North West,20,25,0,0,0,0,9,,54
E07000181,West Oxfordshire,No,No,District,Third,South East,20,9,15,2,0,0,3,,49
E07000094,Winchester,No,No,District,Third,South East,15,0,27,1,0,0,2,,45
E07000217,Woking,No,No,District,Third,South East,8,3,16,0,0,0,3,,30
E07000237,Worcester,No,No,District,Third,West Midlands,15,12,2,6,0,0,0,,35
E07000229,Worthing,No,No,District,Third,South East,12,23,1,0,0,0,1,,37
E09000002,Barking and Dagenham,Yes,No,London,All,London,0,51,0,0,0,0,0,,51
E09000003,Barnet,Yes,No,London,All,London,22,41,0,0,0,0,0,,63
E09000004,Bexley,No,No,London,All,London,33,12,0,0,0,0,0,,45
E09000005,Brent,Yes,No,London,All,London,5,49,3,0,0,0,0,,57
E09000006,Bromley,Yes,No,London,All,London,36,12,5,0,0,0,5,,58
E09000007,Camden,Yes,No,London,All,London,3,47,4,1,0,0,0,,55
E09000008,Croydon,No,No,London,All,London,33,34,1,2,0,0,0,,70
E09000009,Ealing,Yes,No,London,All,London,5,59,6,0,0,0,0,,70
E09000010,Enfield,Yes,No,London,All,London,25,38,0,0,0,0,0,,63
E09000011,Greenwich,Yes,No,London,All,London,3,52,0,0,0,0,0,,55
E09000012,Hackney,No,No,London,All,London,5,50,0,2,0,0,0,,57
E09000013,Hammersmith and Fulham,Yes,No,London,All,London,10,40,0,0,0,0,0,,50
E09000014,Haringey,Yes,No,London,All,London,0,50,7,0,0,0,0,,57
E09000015,Harrow,Yes,No,London,All,London,31,24,0,0,0,0,0,,55
E09000016,Havering,Yes,No,London,All,London,23,9,0,0,0,0,23,,55
E09000017,Hillingdon,Yes,No,London,All,London,30,23,0,0,0,0,0,,53
E09000018,Hounslow,Yes,No,London,All,London,10,52,0,0,0,0,0,,62
E09000019,Islington,Yes,No,London,All,London,0,48,0,3,0,0,0,,51
E09000020,Kensington and Chelsea,No,No,London,All,London,35,13,2,0,0,0,0,,50
E09000021,Kingston upon Thames,Yes,No,London,All,London,3,0,41,0,0,0,1,3,48
E09000022,Lambeth,Yes,No,London,All,London,0,58,3,2,0,0,0,,63
E09000023,Lewisham,Yes,No,London,All,London,0,54,0,0,0,0,0,,54
E09000024,Merton,Yes,No,London,All,London,7,31,17,0,0,0,2,,57
E09000025,Newham,Yes,No,London,All,London,0,64,0,2,0,0,0,,66
E09000026,Redbridge,No,No,London,All,London,5,55,0,0,0,0,0,3,63
E09000027,Richmond upon Thames,Yes,No,London,All,London,1,0,48,5,0,0,0,,54
E09000028,Southwark,No,No,London,All,London,0,52,11,0,0,0,0,,63
E09000029,Sutton,Yes,No,London,All,London,20,3,29,0,0,0,3,,55
E09000030,Tower Hamlets,No,No,London,All,London,1,19,0,1,0,0,24,,45
E09000031,Waltham Forest,Yes,No,London,All,London,13,47,0,0,0,0,0,,60
E09000032,Wandsworth,Yes,No,London,All,London,22,35,0,0,0,0,1,,58
E09000033,Westminster,Yes,No,London,All,London,23,31,0,0,0,0,0,,54
E08000016,Barnsley,No,No,Metropolitan,Third,Yorkshire and The Humber,4,46,9,0,0,0,4,,63
E08000025,Birmingham,No,No,Metropolitan,All,West Midlands,22,65,12,2,0,0,0,,101
E08000001,Bolton,No,No,Metropolitan,Third,North West,23,19,5,0,0,0,13,,60
E08000032,Bradford,No,No,Metropolitan,Third,Yorkshire and The Humber,21,52,6,6,0,0,5,,90
E08000002,Bury,Yes,No,Metropolitan,Third,North West,12,29,1,0,0,0,9,,51
E08000033,Calderdale,No,No,Metropolitan,Third,Yorkshire and The Humber,15,28,6,1,0,0,1,,51
E08000026,Coventry,No,No,Metropolitan,Third,West Midlands,14,39,0,1,0,0,0,,54
E08000027,Dudley,No,No,Metropolitan,Third,West Midlands,46,26,0,0,0,0,0,,72
E08000037,Gateshead,No,No,Metropolitan,Third,North East,0,51,15,0,0,0,0,,66
E08000034,Kirklees,No,No,Metropolitan,Third,Yorkshire and The Humber,18,36,8,3,0,0,4,,69
E08000011,Knowsley,No,No,Metropolitan,Third,North West,0,32,3,5,0,0,5,,45
E08000035,Leeds,No,No,Metropolitan,All,Yorkshire and The Humber,21,58,7,3,0,0,10,,99
E08000003,Manchester,No,No,Metropolitan,All,North West,0,92,2,2,0,0,0,,96
E08000021,Newcastle upon Tyne,No,No,Metropolitan,All,North East,0,51,21,0,0,0,6,,78
E08000022,North Tyneside,No,No,Metropolitan,Third,North East,9,51,0,0,0,0,0,,60
E08000004,Oldham,No,No,Metropolitan,Third,North West,9,35,9,0,0,0,7,,60
E08000005,Rochdale,Yes,No,Metropolitan,Third,North West,10,42,3,0,0,0,5,,60
E08000006,Salford,No,No,Metropolitan,Third,North West,8,49,2,0,0,0,1,,60
E08000028,Sandwell,No,No,Metropolitan,Third,West Midlands,9,61,0,0,0,0,2,,72
E08000014,Sefton,No,No,Metropolitan,Third,North West,7,48,8,0,0,0,3,,66
E08000019,Sheffield,No,No,Metropolitan,Third,Yorkshire and The Humber,1,39,29,14,0,0,1,,84
E08000029,Solihull,No,No,Metropolitan,Third,West Midlands,28,0,5,14,0,0,4,,51
E08000023,South Tyneside,No,No,Metropolitan,Third,North East,1,41,0,6,0,0,6,,54
E08000013,St. Helens,Yes,No,Metropolitan,Third,North West,2,29,4,6,0,0,7,,48
E08000007,Stockport,No,No,Metropolitan,Third,North West,5,25,28,2,0,0,3,,63
E08000024,Sunderland,No,No,Metropolitan,Third,North East,18,41,14,0,0,0,1,1,75
E08000008,Tameside,No,No,Metropolitan,Third,North West,8,48,0,1,0,0,0,,57
E08000009,Trafford,No,No,Metropolitan,Third,North West,13,41,5,4,0,0,0,,63
E08000036,Wakefield,No,No,Metropolitan,Third,Yorkshire and The Humber,13,45,3,0,0,0,2,,63
E08000030,Walsall,No,No,Metropolitan,Third,West Midlands,38,20,0,0,0,0,2,,60
E08000010,Wigan,No,No,Metropolitan,Third,North West,7,61,0,0,0,0,7,,75
E08000015,Wirral,No,No,Metropolitan,Third,North West,24,26,6,9,0,0,1,,66
E08000031,Wolverhampton,No,No,Metropolitan,Third,West Midlands,16,44,0,0,0,0,0,,60
E06000008,Blackburn with Darwen,No,No,Unitary,Third,North West,13,36,1,0,0,0,1,,51
E06000015,Derby,No,No,Unitary,Third,East Midlands,18,16,8,0,0,0,9,,51
E06000006,Halton,No,No,Unitary,Third,North West,3,48,3,0,0,0,0,,54
E06000001,Hartlepool,No,No,Unitary,Third,North East,15,11,0,0,0,0,10,,36
E06000010,Hull,No,No,Unitary,All,Yorkshire and The Humber,0,27,29,0,0,0,1,,57
E06000042,Milton Keynes,No,No,Unitary,Third,South East,23,19,14,0,0,0,0,1,57
E06000012,North East Lincolnshire,No,No,Unitary,Third,Yorkshire and The Humber,30,8,3,0,0,0,1,,42
E06000031,Peterborough,No,No,Unitary,Third,East of England,28,17,8,3,0,0,4,,60
