CODE,NAME,REGION,BOUNDARYCHANGE,TYPE,SEATS,CON,LAB,LD,UKIP,GRN,OTH,TOTAL,Vacant_seats_23,Control_23
E07000032,Amber Valley,East Midlands,Y,District,ALL,8,26,1,0,5,2,42,0,LAB
E07000224,Arun,South East,N,District,ALL,20,8,14,0,6,6,54,0,NOC
E07000170,Ashfield,East Midlands,N,District,ALL,2,1,0,0,0,32,35,0,OTH
E07000105,Ashford,South East,N,District,ALL,19,11,0,0,8,9,47,0,NOC
E07000200,Babergh,East of England,N,District,ALL,7,1,5,0,10,9,32,0,NOC
E08000016,Barnsley,Yorkshire and The Humber,N,Met,THIRD,2,48,10,0,0,3,63,0,LAB
E07000066,Basildon,East of England,N,District,THIRD,26,10,0,0,0,6,42,0,CON
E07000084,Basingstoke and Deane,South East,N,District,THIRD,23,10,9,0,1,11,54,0,NOC
E07000171,Bassetlaw,East Midlands,N,District,ALL,8,38,0,0,0,2,48,0,LAB
E06000022,Bath and North East Somerset,South West,N,Unitary,ALL,3,5,41,0,3,5,59,2,LD
E06000055,Bedford,East of England,Y,Unitary,ALL,14,14,13,0,3,2,46,0,NOC
E07000129,Blaby,East Midlands,Y,District,ALL,19,6,9,0,2,0,36,0,CON
E06000008,Blackburn with Darwen,North West,N,Unitary,THIRD,12,39,0,0,0,0,51,0,LAB
E06000009,Blackpool,North West,Y,Unitary,ALL,14,28,0,0,0,0,42,0,LAB
E07000033,Bolsover,East Midlands,N,District,ALL,3,31,0,0,0,3,37,0,LAB
E08000001,Bolton,North West,Y,Met,ALL,17,26,6,0,0,11,60,0,NOC
E07000136,Boston,East Midlands,N,District,ALL,5,0,1,0,0,24,30,0,IND
E06000058,"Bournemouth, Christchurch and Poole",South West,N,Unitary,ALL,12,11,28,0,5,20,76,0,NOC
E06000036,Bracknell Forest,South East,Y,Unitary,ALL,10,22,7,0,2,0,41,0,LAB
E08000032,Bradford,Yorkshire and The Humber,N,Met,THIRD,16,56,5,0,8,5,90,0,LAB
E07000067,Braintree,East of England,N,District,ALL,26,9,0,0,4,10,49,0,CON
E07000143,Breckland,East of England,N,District,ALL,30,12,1,0,1,5,49,0,CON
E07000068,Brentwood,East of England,N,District,THIRD,17,2,17,0,0,1,37,0,NOC
E06000043,Brighton and Hove,South East,Y,Unitary,ALL,6,38,0,0,7,3,54,0,LAB
E07000144,Broadland,East of England,N,District,ALL,21,8,14,0,4,0,47,0,NOC
E07000234,Bromsgrove,West Midlands,N,District,ALL,11,8,5,0,0,7,31,0,NOC
E07000095,Broxbourne,East of England,N,District,THIRD,27,3,0,0,0,0,30,0,CON
E07000172,Broxtowe,East Midlands,N,District,ALL,10,26,5,0,0,3,44,0,LAB
E07000117,Burnley,North West,N,District,THIRD,7,21,7,0,7,3,45,0,NOC
E08000002,Bury,North West,N,Met,THIRD,11,31,0,0,0,9,51,0,LAB
E08000033,Calderdale,Yorkshire and The Humber,N,Met,THIRD,15,28,6,0,2,0,51,0,LAB
E07000008,Cambridge,East of England,N,District,THIRD,0,27,10,0,4,1,42,0,LAB
E07000192,Cannock Chase,West Midlands,N,District,THIRD,18,17,1,0,5,0,41,0,NOC
E07000106,Canterbury,South East,N,District,ALL,8,18,9,0,4,0,39,0,NOC
E07000069,Castle Point,East of England,N,District,THIRD,9,0,0,0,0,32,41,0,NOC
E06000056,Central Bedfordshire,East of England,Y,Unitary,ALL,20,5,10,0,1,27,63,0,NOC
E07000130,Charnwood,East Midlands,Y,District,ALL,23,20,0,0,8,1,52,0,NOC
E07000070,Chelmsford,East of England,N,District,ALL,21,0,33,0,0,3,57,0,LD
E07000177,Cherwell,South East,N,District,THIRD,20,12,10,0,3,3,48,0,NOC
E06000049,Cheshire East,North West,N,Unitary,ALL,33,31,2,0,0,16,82,0,NOC
E06000050,Cheshire West and Chester,North West,N,Unitary,ALL,23,39,1,0,2,5,70,0,LAB
